species,order,status,mean.within,max.within,n.haplo,min.between,reads,size,island
Psocoptera_14,Psocoptera,unknown,0,0,1,0.1212,44,1,1
Psocoptera_4,Psocoptera,unknown,0.032,0.0556,21,0.093,3084,1,1
Psocoptera_53,Psocoptera,unknown,0.0233,0.0467,2,0.093,178,1,2
Psocoptera_28,Psocoptera,unknown,0.006,0.0121,2,0.1273,75,1,1
Psocoptera_27,Psocoptera,unknown,0.003,0.0051,3,0.1164,134,1,1
Psocoptera_33,Psocoptera,unknown,0,0,1,0.1283,30,1,1
Psocoptera_11,Psocoptera,unknown,0.0072,0.0145,2,0.0969,245,1,1
Psocoptera_1,Psocoptera,unknown,0.0372,0.0794,4,0.0969,8524,1,2
Psocoptera_22,Psocoptera,unknown,0.0295,0.0607,5,0.1406,183,1,2
Araneae_34,Araneae,unknown,0.0092,0.0178,9,0.039,463,1,1
Araneae_138,Araneae,unknown,0.0048,0.0096,2,0.039,116,4,2
Araneae_32,Araneae,unknown,0.0055,0.0127,4,0.1253,412,1,1
Araneae_71,Araneae,unknown,0,0,1,0.1312,52,1,2
Araneae_10,Araneae,native,0.0375,0.0555,33,0.1334,4301,2,5
Araneae_125,Araneae,unknown,0,0,1,0.0935,18,2,2
Araneae_63,Araneae,invasive,0,0,1,0.0935,11,1,2
Araneae_42,Araneae,invasive,0.006,0.012,2,0.1103,127,2,1
Araneae_67,Araneae,unknown,0.0012,0.0024,2,0.1243,46,2,1
Araneae_92,Araneae,unknown,0,0,1,0.1445,22,1,1
Araneae_103,Araneae,unknown,0,0,1,0.0368,54,1,1
Araneae_65,Araneae,unknown,0,0,1,0.0368,86,1,1
Araneae_6,Araneae,native,0.025,0.0451,33,0.1321,4237,2,5
Araneae_22,Araneae,native,0.0291,0.0489,7,0.1321,344,1,5
Araneae_43,Araneae,unknown,0.0295,0.0561,11,0.0611,719,3,2
Araneae_52,Araneae,unknown,0,0,1,0.0611,49,3,2
Araneae_73,Araneae,unknown,0,0,1,0.0973,27,3,1
Araneae_14,Araneae,native,0.0106,0.0241,4,0.0838,624,3,1
Araneae_66,Araneae,unknown,0.0012,0.0024,2,0.0668,53,1,1
Araneae_124,Araneae,unknown,0,0,1,0.0676,2,3,1
Araneae_57,Araneae,unknown,0.0134,0.0268,2,0.0714,75,4,1
Araneae_11,Araneae,unknown,0.0059,0.0119,6,0.0668,1301,3,1
Araneae_53,Araneae,unknown,0.0185,0.0366,5,0.0538,103,3,3
Araneae_56,Araneae,unknown,0.0094,0.0242,6,0.0538,106,2,2
Araneae_24,Araneae,unknown,0.0056,0.0118,3,0.1336,154,4,2
Araneae_110,Araneae,invasive,0,0,1,0.1371,13,2,1
Araneae_108,Araneae,unknown,0,0,1,0.1371,8,2,1
Araneae_105,Araneae,unknown,0,0,1,0.1332,11,1,1
Araneae_31,Araneae,unknown,0,0,1,0.1229,69,3,1
Araneae_15,Araneae,invasive,0.0036,0.0072,2,0.1229,576,3,2
Araneae_9,Araneae,unknown,0,0,1,0.1346,185,3,1
Araneae_29,Araneae,native,0.0158,0.0283,15,0.0389,931,2,2
Araneae_137,Araneae,native,0,0,1,0.0389,16,1,1
Araneae_104,Araneae,native,0.0104,0.0212,3,0.0493,79,1,3
Araneae_60,Araneae,unknown,0.0012,0.0024,2,0.0511,42,2,1
Araneae_91,Araneae,native,0,0,1,0.0368,14,2,1
Araneae_87,Araneae,native,0,0,1,0.0368,23,1,3
Araneae_61,Araneae,native,0.0057,0.0125,5,0.0463,205,2,3
Araneae_30,Araneae,native,0.0099,0.019,12,0.0463,493,1,3
Araneae_76,Araneae,unknown,0.0146,0.0295,4,0.0642,79,1,1
Araneae_81,Araneae,unknown,0.0024,0.0048,2,0.0547,56,2,1
Araneae_79,Araneae,native,0.0031,0.0061,3,0.0445,57,1,1
Araneae_93,Araneae,native,0,0,1,0.0445,11,2,1
Araneae_48,Araneae,native,0.0114,0.024,15,0.0446,827,1,1
Araneae_123,Araneae,unknown,0,0,1,0.1504,7,1,1
Araneae_121,Araneae,unknown,0,0,1,0.1668,6,1,1
Araneae_129,Araneae,native,0,0,1,0.0621,34,1,1
Araneae_120,Araneae,native,0,0,1,0.0407,16,1,1
Araneae_23,Araneae,native,0.0074,0.0139,3,0.0407,266,1,1
Araneae_101,Araneae,native,0.006,0.012,2,0.0949,18,1,1
Araneae_82,Araneae,unknown,0,0,1,0.2564,29,3,1
Araneae_128,Araneae,invasive,0,0,1,0.175,4,1,2
Araneae_28,Araneae,invasive,0,0,1,0.1909,49,2,1
Araneae_70,Araneae,unknown,0.0076,0.0133,3,0.1738,74,1,2
Araneae_98,Araneae,unknown,0.0048,0.0096,2,0.0912,19,1,1
Araneae_47,Araneae,unknown,0.0119,0.025,10,0.0912,376,3,2
Araneae_117,Araneae,unknown,0,0,1,0.1156,37,4,1
Araneae_131,Araneae,invasive,0.0024,0.0048,2,0.1083,20,3,2
Araneae_62,Araneae,unknown,0.0012,0.0024,2,0.1083,40,3,1
Araneae_116,Araneae,invasive,0.0024,0.0048,2,0.1604,34,3,1
Araneae_39,Araneae,unknown,0.0163,0.0254,3,0.0881,248,2,3
Araneae_27,Araneae,native,0.0058,0.012,5,0.0624,437,1,3
Araneae_96,Araneae,unknown,0.0024,0.0048,2,0.0624,27,1,1
Araneae_1,Araneae,unknown,0.0109,0.022,8,0.0828,4715,1,3
Araneae_132,Araneae,unknown,0,0,1,0.0708,10,2,1
Araneae_107,Araneae,unknown,0,0,1,0.073,3,1,1
Araneae_106,Araneae,unknown,0,0,1,0.0708,14,1,1
Araneae_135,Araneae,unknown,0,0,1,0.0975,10,1,1
Araneae_86,Araneae,unknown,0.0036,0.0072,2,0.0719,44,1,2
Araneae_100,Araneae,unknown,0,0,1,0.0719,18,1,1
Araneae_119,Araneae,unknown,0,0,1,0.081,12,1,1
Araneae_115,Araneae,unknown,0.0109,0.0219,2,0.0883,18,1,1
Araneae_49,Araneae,unknown,0.0212,0.0488,6,0.0793,277,1,1
Araneae_90,Araneae,unknown,0.0121,0.0242,2,0.0651,51,1,1
Araneae_25,Araneae,unknown,0.0012,0.0024,2,0.0651,390,1,1
Araneae_77,Araneae,unknown,0.0035,0.0065,3,0.0857,52,1,1
Araneae_113,Araneae,unknown,0,0,1,0.0857,19,1,1
Araneae_126,Araneae,unknown,0,0,1,0.0941,5,1,1
Araneae_111,Araneae,unknown,0,0,1,0.0941,65,1,1
Araneae_75,Araneae,unknown,0,0,1,0.1016,44,1,1
Araneae_122,Araneae,unknown,0,0,1,0.1314,18,1,1
Araneae_130,Araneae,unknown,0,0,1,0.1043,6,1,1
Araneae_134,Araneae,unknown,0,0,1,0.0394,9,1,1
Araneae_69,Araneae,unknown,0,0,1,0.0394,43,1,2
Araneae_89,Araneae,unknown,0.0067,0.0116,4,0.0679,68,1,1
Araneae_83,Araneae,unknown,0.0087,0.0184,3,0.0797,47,1,2
Araneae_38,Araneae,unknown,0.0059,0.0114,5,0.0816,188,1,2
Araneae_88,Araneae,unknown,0,0,1,0.0676,18,1,1
Araneae_17,Araneae,unknown,0,0,1,0.0676,202,1,1
Araneae_97,Araneae,unknown,0.0134,0.0267,2,0.1026,21,1,2
Araneae_99,Araneae,unknown,0.0012,0.0024,2,0.0708,46,1,1
Araneae_64,Araneae,unknown,0,0,1,0.0708,33,1,1
Araneae_133,Araneae,unknown,0,0,1,0.1737,6,1,1
Araneae_45,Araneae,unknown,0.0133,0.0209,3,0.0698,226,1,1
Araneae_40,Araneae,unknown,0.0012,0.0024,2,0.0698,194,1,1
Araneae_95,Araneae,unknown,0,0,1,0.2845,13,1,1
Araneae_94,Araneae,unknown,0,0,1,0.3059,16,1,1
Araneae_114,Araneae,invasive,0,0,1,0.1767,8,1,1
Araneae_50,Araneae,native,0.0162,0.0329,8,0.0894,248,2,1
Araneae_85,Araneae,native,0.022,0.0401,7,0.0806,139,3,1
Araneae_44,Araneae,native,0.0064,0.0133,3,0.0748,72,2,1
Araneae_16,Araneae,native,0.0042,0.0071,5,0.0764,366,1,2
Araneae_54,Araneae,native,0.0079,0.0236,7,0.0748,496,3,1
Araneae_74,Araneae,native,0.0137,0.028,12,0.0981,440,1,2
Araneae_13,Araneae,native,0.0094,0.0212,10,0.0792,1675,2,1
Araneae_80,Araneae,native,0.0238,0.041,3,0.0477,52,1,1
Araneae_26,Araneae,unknown,0,0,1,0.0477,55,2,1
Araneae_36,Araneae,native,0.0142,0.0261,11,0.0492,519,1,2
Araneae_2,Araneae,native,0.0216,0.0432,17,0.044,9091,3,3
Araneae_136,Araneae,native,0.007,0.0129,4,0.044,262,3,1
Araneae_21,Araneae,native,0.0082,0.018,5,0.0998,428,2,2
Araneae_55,Araneae,native,0.0031,0.0065,3,0.1012,174,1,1
Araneae_12,Araneae,native,0.0012,0.0024,2,0.1012,372,3,1
Araneae_3,Araneae,native,0.0118,0.0303,8,0.1288,1321,3,3
Araneae_68,Araneae,unknown,0,0,1,0.1288,18,2,1
Araneae_5,Araneae,native,0,0,1,0.1277,507,1,1
Araneae_7,Araneae,native,0.0144,0.0254,11,0.1376,2653,1,4
Araneae_37,Araneae,unknown,0.0069,0.0121,4,0.0861,79,1,1
Araneae_46,Araneae,native,0.0094,0.0166,3,0.0492,177,1,3
Araneae_20,Araneae,unknown,0.0161,0.0324,12,0.0812,1228,1,1
Araneae_72,Araneae,unknown,0.0039,0.0085,4,0.0906,43,1,1
Araneae_127,Araneae,unknown,0,0,1,0.0482,16,2,1
Araneae_84,Araneae,native,0.0041,0.0089,3,0.0482,108,2,1
Araneae_102,Araneae,native,0.0175,0.0359,3,0.0468,66,3,1
Araneae_18,Araneae,native,0.0106,0.0194,6,0.0468,1044,1,1
Araneae_41,Araneae,unknown,0.0024,0.0048,2,0.0543,122,1,1
Araneae_58,Araneae,native,0.0146,0.0263,6,0.0391,164,2,2
Araneae_140,Araneae,native,0,0,1,0.0391,17,3,1
Araneae_51,Araneae,unknown,0,0,1,0.0653,67,4,1
Araneae_59,Araneae,unknown,0.0134,0.0359,5,0.0546,206,1,1
Araneae_8,Araneae,unknown,0.0114,0.0222,7,0.0546,1809,2,1
Araneae_35,Araneae,native,0.0064,0.0156,5,0.0355,365,1,1
Araneae_139,Araneae,native,0.0012,0.0024,2,0.0355,44,2,1
Araneae_109,Araneae,unknown,0,0,1,0.083,20,1,1
Araneae_19,Araneae,unknown,0.002,0.0037,3,0.0731,245,1,1
Araneae_33,Araneae,unknown,0.0041,0.0074,5,0.0559,213,1,1
Araneae_118,Araneae,unknown,0.006,0.0121,2,0.0612,30,1,1
Araneae_78,Araneae,unknown,0,0,1,0.0635,14,2,1
