species,order,status,mean.within,max.within,n.haplo,min.between,reads,size,island
Diptera_67,Diptera,unknown,0.0024,0.0048,1,0.1694,9,1,1
Diptera_32,Diptera,unknown,0,0,2,0.1694,112,1,1
Diptera_43,Diptera,unknown,0.0208,0.0346,1,0.1396,18,1,1
Diptera_47,Diptera,unknown,0.0048,0.0096,7,0.1396,89,1,3
Diptera_19,Diptera,unknown,0,0,2,0.1519,188,1,1
Diptera_51,Diptera,unknown,0.0555,0.1238,1,0.1275,51,1,1
Diptera_58,Diptera,unknown,0,0,1,0.1275,4,1,1
Diptera_34,Diptera,unknown,0.0171,0.0342,1,0.1292,83,1,2
Diptera_10,Diptera,unknown,0.0012,0.0024,2,0.1393,305,2,1
Diptera_31,Diptera,unknown,0,0,1,0.1401,131,3,1
Diptera_69,Diptera,unknown,0,0,2,0.2104,37,1,1
Diptera_57,Diptera,unknown,0,0,1,0.2145,16,2,1
Diptera_24,Diptera,unknown,0.0056,0.0109,1,0.2379,77,1,1
Diptera_1,Diptera,unknown,0.0036,0.0072,2,0.2758,5278,1,4
Diptera_3,Diptera,unknown,0,0,1,0.2801,512,1,2
Diptera_22,Diptera,unknown,0,0,3,0.2493,135,1,3
Diptera_61,Diptera,unknown,0,0,1,0.2973,16,4,1
Diptera_56,Diptera,unknown,0,0,1,0.217,10,1,1
Diptera_21,Diptera,unknown,0,0,1,0.2276,28,1,1
Diptera_54,Diptera,unknown,0,0,1,0.2043,15,1,1
Diptera_48,Diptera,unknown,0,0,1,0.2043,17,2,1
Diptera_68,Diptera,unknown,0.0517,0.1035,1,0.1951,28,1,1
Diptera_64,Diptera,unknown,0,0,1,0.218,36,1,1
Diptera_41,Diptera,unknown,0,0,1,0.2222,30,1,1
Diptera_63,Diptera,unknown,0,0,1,0.1425,33,2,1
Diptera_49,Diptera,unknown,0,0,2,0.1718,85,1,1
Diptera_9,Diptera,unknown,0,0,1,0.1425,76,2,1
Diptera_17,Diptera,unknown,0.0248,0.0495,4,0.1574,266,3,1
Diptera_8,Diptera,unknown,0,0,1,0.2333,261,1,2
Diptera_60,Diptera,unknown,0,0,1,0.2239,10,1,1
Diptera_27,Diptera,unknown,0,0,1,0.2239,80,1,1
